Release Height (m),Radionuclide,Distance (m),Stability Category,Dose
20,Kr-87,200,4,1.3211443000393444e-08
20,Kr-87,200,5,1.3832247670632842e-08
20,Kr-87,200,6,1.3915597401903241e-08
20,Kr-88,200,1,1.9147354304720288e-08
20,Kr-88,200,2,2.475014242683783e-08
20,Kr-88,200,3,2.6681564781715527e-08
20,Kr-88,200,4,3.0336471503035056e-08
20,Kr-88,200,5,3.074668858908514e-08
20,Kr-88,200,6,3.036145692797621e-08
20,Kr-85,200,1,2.877808215684481e-11
20,Kr-85,200,2,3.6560231876268985e-11
20,Kr-85,200,3,4.2955814381989e-11
20,Kr-85,200,4,4.781847144969153e-11
20,Kr-85,200,5,5.0532583926846555e-11
20,Kr-85,200,6,5.1220575901230216e-11
20,Sr-85,200,1,6.516435605338722e-09
20,Sr-85,200,2,8.278593943385284e-09
20,Sr-85,200,3,9.7267917957121e-09
20,Sr-85,200,4,1.0827928330710724e-08
20,Sr-85,200,5,1.1442543092669261e-08
20,Sr-85,200,6,1.159835315637692e-08
20,Ru-103,200,1,6.600154466324385e-09
20,Ru-103,200,2,8.42141300519287e-09
20,Ru-103,200,3,9.889068086701373e-09
20,Ru-103,200,4,1.0840918482930433e-08
20,Ru-103,200,5,1.1343878544257506e-08
20,Ru-103,200,6,1.1438140329264045e-08
20,Ru-106,200,1,2.483627723356168e-09
20,Ru-106,200,2,3.178011859083191e-09
20,Ru-106,200,3,3.726527794124634e-09
20,Ru-106,200,4,4.068543905982302e-09
20,Ru-106,200,5,4.252959045808753e-09
